stop_id,block_id,routes_serviced,med_income,inc:value-avg,normalized_income,population,pop:value-avg,normalized_population,e^z,importance,num_deps
12469,001000-4,6,"45,900","-11,788",-0.8110336756,1151,-80.6025641,-0.2546226102,1.744400712,0.01034370733,169
11266,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,161
10507,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,160
11271,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,161
10518,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,160
10140,001100-3,11,55300,"-2,388",-0.1643236256,775,-456.6025641,-1.44240246,0.2785719697,0.001651837737,160
10900,001100-3,11,55300,"-2,388",-0.1643236256,775,-456.6025641,-1.44240246,0.2785719697,0.001651837737,161
10540,001100-2,11,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,160
11291,001100-2,11,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,161
11297,001100-2,11,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,161
10160,001100-2,11,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,160
12089,001100-2,2,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,410
10169,001100-2,11,51700,"-5,988",-0.411999815,1415,183.3974359,0.5793504755,2.694870875,0.01597967453,160
12822,001200-2,2,57100,-588,-0.04048553095,1425,193.3974359,0.6109403651,1.918274139,0.01137471805,206
12086,001200-2,2,57100,-588,-0.04048553095,1425,193.3974359,0.6109403651,1.918274139,0.01137471805,204
11692,001200-2,2,57100,-588,-0.04048553095,1425,193.3974359,0.6109403651,1.918274139,0.01137471805,408
,,,,,,,,,,,
,,,"57,688",,,1231.602564,,,168.6436649,1,160
,,,average^,,,average^,,,,,min^
,,,14535.10735,,,316.5569783,,,,,725
,,,std^^,,,std^ ,,,,,max^
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,importance is maximised when population is higher and icnome is lower,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,"take the averag of the data, subtract the average for both ",
,,,,,,,,,,"get the starndard deivation of the data, divide those numbersby the standard devation",
,,,,,,,,,,x = take the (normlaized) population of each row and subtract the  normlaized) income of each row,
,,,,,,,,,,take the softmax:,
,,,,,,,,,,e ^ (the oucome x),
